name,sku,attribute_set,type,weight,model_0,working_width_inches,manufacture_part_number,item_type,main_category,alternate_category,manufacturer_name,equipment_type,power_type,portable_or_stationary,heating_type,diameter_inches,gpm,psi,water_flow_rate_gpm,max_temperature,ship_weight_lbs,maximum_rpm,pump,electrical,cc,amps,start,phase,load_capacity_lbs,engine,hp,pump_rpm,water_tank_gallons,voltage,axle,equipment_video_url,btu,burner,item_customizable,wty_type1,wty_type2,wty_type3,wty_type4,wty_type5,wty_type6,wty_type7,wty_type8,wty_type9,wty_type10,wty_type11,discount_1,discount_2,discount_3,discount_4,product_brochure_url,accessory_one_customize_item,accessory_two_customize_item,accessory_three_customize_item,accessory_four_customize_item,accessory_five_customize_item,accessory_six_customize_item,accessory_seven_customize_item,accessory_eight_customize_item,accessory_nine_customize_item,accessory_ten_customize_item,accessory_elvn_customize_item,accessory_one_item_part,accessory_two_item_part,accessory_three_item_part,accessory_four_item_part,accessory_five_item_part,accessory_six_item_part,accessory_seven_item_part,accessory_eight_item_part,accessory_nine_item_part,accessory_ten_item_part,accessory_elvn_item_part,category_ids,test,price,short_description,description,qty,status,is_in_stock,visibility,image,small_image,thumbnail,media_gallery
HD 2.5/27 PB AL,hd_pb_al_27,default,simple,249,HD 2.5/27 PB AL,,1.107-132.0,Equipment,Pressure Washing Equipment,For Your Home,Karcher,Cold Water Pressure Washer,Gas Powered Pressure Washer,Portable Pressure Washers,,49.9 x 27 x 40.6,2.5,2700,,,196,,Kärcher KD,,196,,,,,Honda GX200,,,,,,http://youtu.be/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"8.929-062.0, 9.802-225.0, 8.723-636.0, 4.767-041.0, 9.302-443.0, 9.302-447.0",,,,,,,,,,,,,,,,,,,,,,"5, 9",HD 2.5/27 PB AL,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD 3.7_35 PB_AL-01.jpg,HD 3.7_35 PB_AL-01.jpg,HD 3.7_35 PB_AL-01.jpg,HD 3.7_35 PB_AL-01.jpg
A+ SC21,a_sc_21,default,simple,,A+ SC21,,8.753-572.0,Equipment,"Accessories
","
",Karcher,"Accessory
","
","
","
",21,3.0-8.0,4000,,212,26,,,,,,,1ph,,,,2500,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgd1otRTVnelV1Q2c&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",A+ SC21,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-1-Main.jpg","A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-1-Main.jpg","A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-1-Main.jpg","A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-2.jpg;A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-3.jpg"
A+ SC24,a_sc_24,default,simple,,A+ SC24,,8.753-573.0,Equipment,"Accessories
","
",Karcher,"Accessory
","
","
","
",24,3.0-8.0,4000,,212,29,,,,,,,1ph,,,,2500,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgd1otRTVnelV1Q2c&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",A+ SC24,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-1-Main (1).jpg","A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-1-Main (1).jpg","A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-1-Main (1).jpg","A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-2.jpg;A+-SC21,-A+-SC24-Surface-Cleaner-Brochure-3.jpg"
FRV 30,frv_30,default,simple,,FRV 30,,2.642-999.0,Equipment,"Accessories
","
",Karcher,"Accessory
","
","
","
",12 (300 mm),"2.64-4.40 (600-1,000 l/h)","3,626 (250 bar)",,140 (60 °C),8 (3.5 kg),,,,,,,,,,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZkc4a205Y0NwcFU&authuser=0,"General
","General
","
","
","
","
","
","
","
","
",,"2.642-430.0, 2.642-431.0, 2.642-432.0, 2.642-433.0, 4.440-938.0, 9.315-002.0, 6.902-077.0, 2.042-001.0, 2.642-528.0, 2.642-532.0, 6.371-293.0",4.402-071.0,"
","
","
","
","
","
","
",,,"5, 9",FRV 30,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-5.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-5.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-5.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-5 (1).jpg;FRV Illustration-01.jpg"
FR 30 ME,fr_30_me,default,simple,,FR 30 ME,,2.640-355.0,Equipment,"Accessories
","
",Karcher,"Accessory
","
","
","
",12 (300 mm),"2.2-4.8 (500-1,100 l/h)","3,626 (250 bar)",,176 (80 °C),9 (4.2 kg),,Kärcher Axial,,,,,,,,,,,,,http://youtu.be/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZkc4a205Y0NwcFU&authuser=0,"General
","General
","
","
","
","
","
","
","
","
",,"2.640-442.0, 2.639-188.0, 2.640-781.0, 4.440-939.0, 9.315-002.0, 6.902-077.0, 2.042-001.0, 2.642-528.0, 2.642-532.0, 6.371-293.0",4.402-071.0,"
","
","
","
","
","
","
",,,"5, 9",FR 30 ME,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-4.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-4.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-4.jpg",
FRV 30 ME,frv_30_me,default,simple,,FRV 30 ME,,2.642-911.0,Equipment,"Accessories
","
",Karcher,"Accessory
","
","
","
",12 (300 mm),"2.2-5.72 (600-1,300 l/h)","3,626 (250 bar)",,176 (80 °C),10.36 (4.7 kg),,Kärcher Axial,,,,,,,,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZkc4a205Y0NwcFU&authuser=0,"General
","General
","
","
","
","
","
","
","
","
",,"2.642-430.0, 2.642-431.0, 2.642-432.0, 2.642-433.0, 4.440-938.0, 9.315-002.0, 6.902-077.0, 2.042-001.0, 2.642-528.0, 2.642-532.0, 6.371-293.0",4.441-040.0,"
","
","
","
","
","
","
",,,"5, 9",FRV 30 ME,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-6.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-6.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-6.jpg",FRV 30 ME Wall-01.jpg
FR 50,fr_50,default,simple,,FR 50,,2.640-679.0,Equipment,"Accessories
","
",Karcher,"Accessory
","
","
","
",20 (500 mm),"2.9-7.9 (650-1,800 l/h)","3,626 (250 bar)",,176 (80 °C),32 (14.5 kg),,Kärcher Axial,,,,,,,,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZkc4a205Y0NwcFU&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"2.640-442.0, 2.639-188.0, 2.640-781.0, 4.440-939.0, 9.315-002.0, 6.902-077.0, 2.042-001.0, 2.642-528.0, 2.642-532.0, 6.371-293.0","
","
","
","
","
","
","
","
",,,"5, 9",FR 50,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-7.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-7.jpg","FRV-30,-FR-30-ME,-FRV-30-ME,-FR-50-Brochure-7.jpg",
HD 1.8/13 C Ed,hd_13_c_ed,default,simple,,HD 1.8/13 C Ed,,1.514-136.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,1.8,1300,,,63,,Kärcher Axial,,,15,,,,,2.2,,,120V,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgSldURzU0QlJ4M1U&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 1.8/13 C Ed,1158,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,15141360_std_2-58686-CMYK-01.jpg,15141360_std_2-58686-CMYK-01.jpg,15141360_std_2-58686-CMYK-01.jpg,
HD 2.3/15 C Ed,hd_c_ed_15,default,simple,,HD 2.3/15 C Ed,,1.150-626.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,1.1-2.3,300-1500,,,68,,Kärcher KE,,,20,,1 ph,,,3.2,,,120V,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgSldURzU0QlJ4M1U&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/15 C Ed,1566,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,11506260_std_1-58042-CMYK-01.jpg,11506260_std_1-58042-CMYK-01.jpg,11506260_std_1-58042-CMYK-01.jpg,
HD 2.3/14 C Ed Food,hd_c_ed_food_14,default,simple,,HD 2.3/14 C Ed Food,,1.150-614.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,1.1-2.3,300-1500,,,68,,Kärcher KE,,,20,,1 ph,,,3.2,,,120V,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgSldURzU0QlJ4M1U&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/14 C Ed Food,2152,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Classic HD Food Svc-01.jpg,Classic HD Food Svc-01.jpg,Classic HD Food Svc-01.jpg,
