"name","sku","attribute_set","type","category_ids","price","short_description","description","qty","status","is_in_stock","visibility","custom_design","image","image_label","small_image","small_image_label","thumbnail","thumbnail_label","media_gallery","","","","","",""
"2.042-001.0","KE20420010","default","simple","17 , 30","28.8","Hose holder","Hose holder","1000","1","1","4","rwd/electricbroom","frv30usermanual/page_006.jpg","Information for FRV 30 User Manual describing 2.042-001.0","frv30usermanual/small_page_006.jpg","Small Information for FRV 30 User Manual describing 2.042-001.0","frv30usermanual/thumb_page_006.jpg","Thumbnail Information for FRV 30 User Manual describing 2.042-001.0","frv30usermanual/thumb_page_006.jpg; frv30usermanual/page_010.jpg;i/frv30usermanual/page_006.jpg;i/frv30usermanual/page_010.jpg;i/frv30usermanual/page_014.jpg;i/frv30usermanual/page_018.jpg;i/frv30usermanual/page_022.jpg;i/frv30usermanual/page_026.jpg;i/frv30usermanual/page_030.jpg;i/frv30usermanual/page_034.jpg;i/frv30usermanual/page_038.jpg;i/frv30usermanual/page_042.jpg;i/frv30usermanual/page_046.jpg;i/frv30usermanual/page_050.jpg;i/frv30usermanual/page_054.jpg;i/frv30usermanual/page_058.jpg;i/frv30usermanual/page_062.jpg;i/frv30usermanual/page_066.jpg;i/frv30usermanual/page_070.jpg;i/frv30usermanual/page_074.jpg;i/frv30usermanual/page_078.jpg;i/frv30usermanual/page_082.jpg;i/frv30usermanual/page_086.jpg;i/frv30usermanual/page_090.jpg;i/frv30usermanual/page_094.jpg;i/frv30usermanual/page_098.jpg;i/frv30usermanual/page_102.jpg;i/frv30usermanual/page_106.jpg;i/frv30usermanual/page_110.jpg","","","","","/i/frv30usermanual/thumb_page_006.jpg","Thumbnail Information for FRV 30 User Manual describing 2.042-001.0"
"2.100-001.0","KE21000010","default","simple","17 , 30","352","Suction head completely","Suction head completely","1000","1","1","4","rwd/electricbroom","i/nt68494049500210/page_40.jpg","","i/nt68494049500210/small_page_40.jpg","","i/nt68494049500210/thumb_page_40.jpg","","i/nt68494049500210/page_41.jpg","","","","","",""
"2.100-005.0","KE21000050","default","simple","17 , 30","293","Suction head complete *EU","Suction head complete *EU","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.204-069.0","KE22040690","default","simple","17 , 30","274","Pump set K3 Follow Me","Pump set K3 Follow Me","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.210-008.0","KE22100080","default","simple","17 , 30","618","Ground rack complete","Ground rack complete","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.210-042.0","KE22100420","default","simple","17 , 30","733","Ground rack","Ground rack","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.324-007.0","KE23240070","default","simple","17 , 30","35.75","Carrier handle appliance","Carrier handle appliance","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.324-010.0","KE23240100","default","simple","17 , 30","12.45","Housing set","Housing set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.420-004.0","KE24200040","default","simple","17 , 30","120","Pipelines kit","Pipelines kit","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.440-001.0","KE24400010","default","simple","17 , 30","68.4","Hose set BR","Hose set BR","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.633-006.0","KE26330060","default","simple","17 , 30","73.05","Waist bag WV","Waist bag WV","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-065.0","KE26370650","default","simple","17 , 30","2138","FLOOR NOZZLE","FLOOR NOZZLE","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-108.0","KE26371080","default","simple","17 , 30","56.55","Add-on kit nozzle","Add-on kit nozzle","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-203.0","KE26372030","default","simple","17 , 30","921","ADD-ON KIT","ADD-ON KIT","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-214.0","KE26372140","default","simple","17 , 30","116","Add-on kit suction (22441782)","Add-on kit suction (22441782)","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-491.0","KE26374910","default","simple","17 , 30","135","Add-on kit remote control","Add-on kit remote control","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-691.0","KE26376910","default","simple","17 , 30","239","Add-on kit water filter","Add-on kit water filter","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-717.0","KE26377170","default","simple","17 , 30","638","CLEANING COMPOUND","CLEANING COMPOUND","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-729.0","KE26377290","default","simple","17 , 30","92.75","PC 7.5 pipe cleaning set","PC 7.5 pipe cleaning set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-767.0","KE26377670","default","simple","17 , 30","108","PC 15 pipe cleaning set","PC 15 pipe cleaning set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-773.0","KE26377730","default","simple","17 , 30","311","Add-on kit water filter","Add-on kit water filter","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-801.0","KE26378010","default","simple","17 , 30","276","Add-on kit protection against water shor","Add-on kit protection against water shor","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-803.0","KE26378030","default","simple","17 , 30","190","Add-on kit tank cleaning agents HD1050B","Add-on kit tank cleaning agents HD1050B","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-820.0","KE26378200","default","simple","17 , 30","470","Add-on kit wheels","Add-on kit wheels","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-900.0","KE26379000","default","simple","17 , 30","106","Nozzle pack","Nozzle pack","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-901.0","KE26379010","default","simple","17 , 30","106","Nozzle pack wet jet set","Nozzle pack wet jet set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-902.0","KE26379020","default","simple","17 , 30","106","Nozzle pack wet jet set","Nozzle pack wet jet set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-903.0","KE26379030","default","simple","17 , 30","106","Nozzle pack","Nozzle pack","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-904.0","KE26379040","default","simple","17 , 30","106","Nozzle pack wet jet set","Nozzle pack wet jet set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-905.0","KE26379050","default","simple","17 , 30","106","NOZZLE PACK","NOZZLE PACK","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-926.0","KE26379260","default","simple","17 , 30","495","Add-on kit foam nozzle","Add-on kit foam nozzle","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.637-998.0","KE26379980","default","simple","17 , 30","489","Add-on kit hose reel","Add-on kit hose reel","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-180.0","KE26381800","default","simple","17 , 30","34.2","Add-on kit connection piece connection","Add-on kit connection piece connection","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-182.0","KE26381820","default","simple","17 , 30","31.75","Add-on kit connection piece transition","Add-on kit connection piece transition","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-200.0","KE26382000","default","simple","17 , 30","934","Add-on kit change-over switch","Add-on kit change-over switch","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-255.0","KE26382550","default","simple","17 , 30","1024","Add-on kit water filter","Add-on kit water filter","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-270.0","KE26382700","default","simple","17 , 30","213","Add-on kit water filter","Add-on kit water filter","1000","1","1","4","rwd/electricbroom","i/hd1090sxoperatingmanual/page_10.jpg","","i/hd1090sxoperatingmanual/small_page_10.jpg","","i/hd1090sxoperatingmanual/thumb_page_10.jpg","","i/hd1290sxoperationmanual/page_04.jpg;i/hds801epartsmanual/page_3.jpg","","","","","",""
"2.638-494.0","KE26384940","default","simple","17 , 30","90.6","Accumulator K250","Accumulator K250","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-512.0","KE26385120","default","simple","17 , 30","880","Add-on kit secondary jet pipe","Add-on kit secondary jet pipe","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-526.0","KE26385260","default","simple","17 , 30","106","Nozzle pack wet jet set","Nozzle pack wet jet set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-792.0","KE26387920","default","simple","17 , 30","134","Wet jet set","Wet jet set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-817.0","KE26388170","default","simple","17 , 30","80.1","Elbow jet pipe","Elbow jet pipe","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-900.0","KE26389000","default","simple","17 , 30","91.6","Add-on kit transport","Add-on kit transport","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-961.0","KE26389610","default","simple","17 , 30","101","Conversion kit pressure switch air","Conversion kit pressure switch air","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.638-974.0","KE26389740","default","simple","17 , 30","39.85","Conversion kit ignition electrode","Conversion kit ignition electrode","1000","1","1","4","rwd/electricbroom","i/hds1812uedpartsmanual/page_28.jpg","","i/hds1812uedpartsmanual/small_page_28.jpg","","i/hds1812uedpartsmanual/thumb_page_28.jpg","","i/hds1812uedpartsmanual/page_29.jpg;i/hds2313cedpartsmanual/page_045.jpg;i/hds2313cedpartsmanual/page_043.jpg;i/hds2313cedpartsmanual/page_048.jpg;i/hds2313cedpartsmanual/page_046.jpg;i/hds4020partsmanual/page_43.jpg;i/hds4020partsmanual/page_42.jpg;i/hds4020partsmanual/page_44.jpg;i/hds4020hds4522partsmanual/page_43.jpg;i/hds4020hds4522partsmanual/page_42.jpg;i/hds4020hds4522partsmanual/page_44.jpg;i/hds4522partsmanual/page_43.jpg;i/hds4522partsmanual/page_42.jpg;i/hds4522partsmanual/page_44.jpg;i/hds50304sebpartsmanual/page_37.jpg;i/hds50304sebpartsmanual/page_36.jpg;i/hds5030ebpartsmanual/page_33.jpg;i/hds5030ebpartsmanual/page_32.jpg;i/hds5030ecpartsmanual/page_33.jpg;i/hds5030ecpartsmanual/page_32.jpg;i/hds5030partsmanual/page_37.jpg;i/hds5030partsmanual/page_36.jpg","","","","","",""
"2.638-976.0","KE26389760","default","simple","17 , 30","52","Conversion kit ignition cable","Conversion kit ignition cable","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.639-187.0","KE26391870","default","simple","17 , 30","43.1","Nozzle pack 025","Nozzle pack 025","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.639-188.0","KE26391880","default","simple","17 , 30","43.1","Nozzle pack 04-1100-1300 l/h","Nozzle pack 04-1100-1300 l/h","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.639-444.0","KE26394440","default","simple","17 , 30","38.25","LABEL SET F.HAUBE","LABEL SET F.HAUBE","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.639-473.0","KE26394730","default","simple","17 , 30","565","Add-on kit hose reel HDS-CSX","Add-on kit hose reel HDS-CSX","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.639-919.0","KE26399190","default","simple","17 , 30","1545","Add-on kit hose reel","Add-on kit hose reel","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.639-931.0","KE26399310","default","simple","17 , 30","343","Add-on kit wall fastening hose reel","Add-on kit wall fastening hose reel","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-108.0","KE26401080","default","simple","17 , 30","515","Add-on kit revolving signal light","Add-on kit revolving signal light","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-109.0","KE26401090","default","simple","17 , 30","519","Add-on kit work illumination","Add-on kit work illumination","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-151.0","KE26401510","default","simple","17 , 30","1021","Inno-Foam-Set","Inno-Foam-Set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-212.0","KE26402120","default","simple","17 , 30","102","T 300 T-Racer surface cleaner","T 300 T-Racer surface cleaner","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-282.0","KE26402820","default","simple","17 , 30","43.1","Nozzle pack 25090 1800-2200 l/h","Nozzle pack 25090 1800-2200 l/h","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-355.0","KE26403550","default","simple","17 , 30","592","FR 30 Me","FR 30 Me","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-401.0","KE26404010","default","simple","17 , 30","43.1","Nozzle pack 020-500-650 l/h","Nozzle pack 020-500-650 l/h","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-442.0","KE26404420","default","simple","17 , 30","43.1","Nozzle pack 032","Nozzle pack 032","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-447.0","KE26404470","default","simple","17 , 30","635","FR 30 Me 500 - 650 L","FR 30 Me 500 - 650 L","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-448.0","KE26404480","default","simple","17 , 30","635","FR 30 Me 650 - 850 l","FR 30 Me 650 - 850 l","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-449.0","KE26404490","default","simple","17 , 30","635","FR 30 Me 850 - 1100 l","FR 30 Me 850 - 1100 l","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-482.0","KE26404820","default","simple","17 , 30","43.1","Nozzle pack 018","Nozzle pack 018","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-492.0","KE26404920","default","simple","17 , 30","4.45","Set water connection 1 ""","Set water connection 1 ""","1000","1","1","4","rwd/electricbroom","i/hds1324pecagepartsmanual/page_03.jpg","","i/hds1324pecagepartsmanual/small_page_03.jpg","","i/hds1324pecagepartsmanual/thumb_page_03.jpg","","i/hds1324pecagepartsmanual/page_06.jpg;i/hds1324pecagepartsmanual/page_02.jpg","","","","","",""
"2.640-508.0","KE26405080","default","simple","17 , 30","131","T 300 packaged","T 300 packaged","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-589.0","KE26405890","default","simple","17 , 30","30.05","Brush lengthwise","Brush lengthwise","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-642.0","KE26406420","default","simple","17 , 30","14.45","Spare parts nozzles T-Racer 020","Spare parts nozzles T-Racer 020","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-679.0","KE26406790","default","simple","17 , 30","1331","ADD-ON KIT FR 50","ADD-ON KIT FR 50","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-687.0","KE26406870","default","simple","17 , 30","101","NOZZLE PACK 075","NOZZLE PACK 075","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-688.0","KE26406880","default","simple","17 , 30","101","Nozzle pack 090","Nozzle pack 090","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-689.0","KE26406890","default","simple","17 , 30","101","Nozzle pack 110","Nozzle pack 110","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-691.0","KE26406910","default","simple","17 , 30","599","Easy Foam Set","Easy Foam Set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-692.0","KE26406920","default","simple","17 , 30","552","Inno Foam Set","Inno Foam Set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-693.0","KE26406930","default","simple","17 , 30","295","Easy Foam Set","Easy Foam Set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-727.0","KE26407270","default","simple","17 , 30","10","Spare parts nozzles T-Racer 015","Spare parts nozzles T-Racer 015","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-729.0","KE26407290","default","simple","17 , 30","19.4","O-Ring seal set","O-Ring seal set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-732.0","KE26407320","default","simple","17 , 30","13.5","Garden hose adapter","Garden hose adapter","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-741.0","KE26407410","default","simple","17 , 30","51.25","Elbow jet pipe *KNA","Elbow jet pipe *KNA","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-744.0","KE26407440","default","simple","17 , 30","49.8","Dirt blaster","Dirt blaster","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-746.0","KE26407460","default","simple","17 , 30","51.25","Jet pipe extension","Jet pipe extension","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-781.0","KE26407810","default","simple","17 , 30","43.1","Nozzle pack 062","Nozzle pack 062","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-815.0","KE26408150","default","simple","17 , 30","42.3","Wash Brush Kit (Kaercher)","Wash Brush Kit (Kaercher)","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-848.0","KE26408480","default","simple","17 , 30","35.4","Set nozzles 0325","Set nozzles 0325","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-849.0","KE26408490","default","simple","17 , 30","35.4","5 pc QC nozzle kit (037)","5 pc QC nozzle kit (037)","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-850.0","KE26408500","default","simple","17 , 30","31.5","Set high pressure hose extension *KNA","Set high pressure hose extension *KNA","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-852.0","KE26408520","default","simple","17 , 30","163","50 ft extension/replacement hose","50 ft extension/replacement hose","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-853.0","KE26408530","default","simple","17 , 30","129","HOSE REEL HD","HOSE REEL HD","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-854.0","KE26408540","default","simple","17 , 30","76.15","Dirt blaster head 037","Dirt blaster head 037","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-870.0","KE26408700","default","simple","17 , 30","101","Nozzle pack 055","Nozzle pack 055","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.640-910.0","KE26409100","default","simple","17 , 30","359","Add-on kit blower","Add-on kit blower","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-005.0","KE26410050","default","simple","17 , 30","94.55","T 350","T 350","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
